run_id,server,machine_tag,modality,stage,protocol,env,domain,task_id,method_group,config_name,seed,target_steps,final_step,status,success_final,return_final,length_final,success_best,best_step,success_peak_after_500k,peak_step_after_500k,valueflow_success_mean,delta_vs_valueflow,eval_csv,train_csv,command_txt,run_dir,output_base,local_backup_path,git_branch,git_head,timestamp_start,timestamp_update,notes
4090d__visual_v6__visual-cube-double-play-singletask-task3-v0__R2_flow_residual_disagree_std_lam0p001__seed2__1000000,4090d,4090d,visual,visual_v6,1m_confirmation,visual-cube-double-play-singletask-task3-v0,visual-cube-double-play,task3,R2_residual_disagree,R2_flow_residual_disagree_std_lam0p001,2,1000000,1000000,COMPLETED,0.1,-876.3,495.1,0.1,300000,0.1,900000,,,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task3-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task3-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/sd002_20260611_120804/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task3-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task3-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/sd002_20260611_120804/train.csv,,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task3-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task3-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/sd002_20260611_120804,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp,,fix-visual-pm-encoder,8beb46e642965e399802e40e6cf94a5238cdfad6,2026-06-11 12:08:04,2026-06-16 09:36:01,
4090d__visual_v6__visual-cube-double-play-singletask-task4-v0__A1_action_std_lam0p001__seed2__300000,4090d,4090d,visual,visual_v6,300k_screening,visual-cube-double-play-singletask-task4-v0,visual-cube-double-play,task4,A1_action_std,A1_action_std_lam0p001,2,300000,300000,COMPLETED,0,-970.7,500,0.1,250000,,,,,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-cube-double-play_visual-cube-double-play-singletask-task4-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-cube-double-play_visual-cube-double-play-singletask-task4-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_133949/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-cube-double-play_visual-cube-double-play-singletask-task4-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-cube-double-play_visual-cube-double-play-singletask-task4-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_133949/train.csv,,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-cube-double-play_visual-cube-double-play-singletask-task4-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-cube-double-play_visual-cube-double-play-singletask-task4-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_133949,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp,,fix-visual-pm-encoder,8beb46e642965e399802e40e6cf94a5238cdfad6,2026-06-10 13:39:49,2026-06-16 09:36:01,
4090d__visual_v6__visual-cube-double-play-singletask-task4-v0__R2_flow_residual_disagree_std_lam0p001__seed2__300000,4090d,4090d,visual,visual_v6,300k_screening,visual-cube-double-play-singletask-task4-v0,visual-cube-double-play,task4,R2_residual_disagree,R2_flow_residual_disagree_std_lam0p001,2,300000,300000,COMPLETED,0,-949.4,500,0,1,,,,,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-cube-double-play_visual-cube-double-play-singletask-task4-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-cube-double-play_visual-cube-double-play-singletask-task4-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260610_133948/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-cube-double-play_visual-cube-double-play-singletask-task4-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-cube-double-play_visual-cube-double-play-singletask-task4-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260610_133948/train.csv,,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-cube-double-play_visual-cube-double-play-singletask-task4-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-cube-double-play_visual-cube-double-play-singletask-task4-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260610_133948,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp,,fix-visual-pm-encoder,8beb46e642965e399802e40e6cf94a5238cdfad6,2026-06-10 13:39:48,2026-06-16 09:36:01,
4090d__visual_v6__visual-cube-double-play-singletask-task4-v0__R2_flow_residual_disagree_std_lam0p001__seed2__1000000,4090d,4090d,visual,visual_v6,1m_confirmation,visual-cube-double-play-singletask-task4-v0,visual-cube-double-play,task4,R2_residual_disagree,R2_flow_residual_disagree_std_lam0p001,2,1000000,1000000,COMPLETED,0,-981.4,500,0,1,0,500000,,,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task4-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task4-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/sd002_20260611_162716/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task4-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task4-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/sd002_20260611_162716/train.csv,,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task4-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task4-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/sd002_20260611_162716,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp,,fix-visual-pm-encoder,8beb46e642965e399802e40e6cf94a5238cdfad6,2026-06-11 16:27:16,2026-06-16 09:36:01,
4090d__visual_v6__visual-cube-double-play-singletask-task5-v0__A1_action_std_lam0p001__seed2__300000,4090d,4090d,visual,visual_v6,300k_screening,visual-cube-double-play-singletask-task5-v0,visual-cube-double-play,task5,A1_action_std,A1_action_std_lam0p001,2,300000,300000,COMPLETED,0,-994.8,500,0,1,,,,,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-cube-double-play_visual-cube-double-play-singletask-task5-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-cube-double-play_visual-cube-double-play-singletask-task5-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_145853/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-cube-double-play_visual-cube-double-play-singletask-task5-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-cube-double-play_visual-cube-double-play-singletask-task5-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_145853/train.csv,,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-cube-double-play_visual-cube-double-play-singletask-task5-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-cube-double-play_visual-cube-double-play-singletask-task5-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_145853,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp,,fix-visual-pm-encoder,8beb46e642965e399802e40e6cf94a5238cdfad6,2026-06-10 14:58:53,2026-06-16 09:36:01,
4090d__visual_v6__visual-cube-double-play-singletask-task5-v0__R2_flow_residual_disagree_std_lam0p001__seed2__300000,4090d,4090d,visual,visual_v6,300k_screening,visual-cube-double-play-singletask-task5-v0,visual-cube-double-play,task5,R2_residual_disagree,R2_flow_residual_disagree_std_lam0p001,2,300000,300000,COMPLETED,0,-795.2,500,0.1,150000,,,,,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-cube-double-play_visual-cube-double-play-singletask-task5-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-cube-double-play_visual-cube-double-play-singletask-task5-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260610_145853/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-cube-double-play_visual-cube-double-play-singletask-task5-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-cube-double-play_visual-cube-double-play-singletask-task5-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260610_145853/train.csv,,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-cube-double-play_visual-cube-double-play-singletask-task5-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-cube-double-play_visual-cube-double-play-singletask-task5-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260610_145853,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp,,fix-visual-pm-encoder,8beb46e642965e399802e40e6cf94a5238cdfad6,2026-06-10 14:58:53,2026-06-16 09:36:01,
4090d__visual_v6__visual-cube-double-play-singletask-task5-v0__R2_flow_residual_disagree_std_lam0p001__seed2__1000000,4090d,4090d,visual,visual_v6,1m_confirmation,visual-cube-double-play-singletask-task5-v0,visual-cube-double-play,task5,R2_residual_disagree,R2_flow_residual_disagree_std_lam0p001,2,1000000,1000000,COMPLETED,0,-998.7,500,0.3,650000,0.3,650000,,,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task5-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task5-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/sd002_20260611_162718/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task5-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task5-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/sd002_20260611_162718/train.csv,,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task5-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/stageB_visual-cube-double-play_visual-cube-double-play-singletask-task5-v0_R2_flow_residual_disagree_std_lam0p001_seed2_1000000/sd002_20260611_162718,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp,,fix-visual-pm-encoder,8beb46e642965e399802e40e6cf94a5238cdfad6,2026-06-11 16:27:18,2026-06-16 09:36:01,
4090d__visual_v6__visual-scene-play-singletask-task1-v0__A1_action_std_lam0p001__seed2__300000,4090d,4090d,visual,visual_v6,300k_screening,visual-scene-play-singletask-task1-v0,visual-scene-play,task1,A1_action_std,A1_action_std_lam0p001,2,300000,300000,COMPLETED,0.8,-755.3,537.7,0.9,200000,,,,,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-scene-play_visual-scene-play-singletask-task1-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-scene-play_visual-scene-play-singletask-task1-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_161756/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-scene-play_visual-scene-play-singletask-task1-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-scene-play_visual-scene-play-singletask-task1-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_161756/train.csv,,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-scene-play_visual-scene-play-singletask-task1-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-scene-play_visual-scene-play-singletask-task1-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_161756,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp,,fix-visual-pm-encoder,8beb46e642965e399802e40e6cf94a5238cdfad6,2026-06-10 16:17:56,2026-06-16 09:36:01,
4090d__visual_v6__visual-scene-play-singletask-task1-v0__R2_flow_residual_disagree_std_lam0p001__seed2__300000,4090d,4090d,visual,visual_v6,300k_screening,visual-scene-play-singletask-task1-v0,visual-scene-play,task1,R2_residual_disagree,R2_flow_residual_disagree_std_lam0p001,2,300000,300000,COMPLETED,1,-527.2,371.9,1,200000,,,,,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-scene-play_visual-scene-play-singletask-task1-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-scene-play_visual-scene-play-singletask-task1-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260610_161757/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-scene-play_visual-scene-play-singletask-task1-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-scene-play_visual-scene-play-singletask-task1-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260610_161757/train.csv,,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-scene-play_visual-scene-play-singletask-task1-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-scene-play_visual-scene-play-singletask-task1-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260610_161757,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp,,fix-visual-pm-encoder,8beb46e642965e399802e40e6cf94a5238cdfad6,2026-06-10 16:17:57,2026-06-16 09:36:01,
4090d__visual_v6__visual-scene-play-singletask-task2-v0__A1_action_std_lam0p001__seed2__300000,4090d,4090d,visual,visual_v6,300k_screening,visual-scene-play-singletask-task2-v0,visual-scene-play,task2,A1_action_std,A1_action_std_lam0p001,2,300000,300000,COMPLETED,0,-1580.9,750,0,1,,,,,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-scene-play_visual-scene-play-singletask-task2-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-scene-play_visual-scene-play-singletask-task2-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_173802/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-scene-play_visual-scene-play-singletask-task2-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-scene-play_visual-scene-play-singletask-task2-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_173802/train.csv,,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-scene-play_visual-scene-play-singletask-task2-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-scene-play_visual-scene-play-singletask-task2-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_173802,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp,,fix-visual-pm-encoder,8beb46e642965e399802e40e6cf94a5238cdfad6,2026-06-10 17:38:02,2026-06-16 09:36:01,
4090d__visual_v6__visual-scene-play-singletask-task2-v0__R2_flow_residual_disagree_std_lam0p001__seed2__300000,4090d,4090d,visual,visual_v6,300k_screening,visual-scene-play-singletask-task2-v0,visual-scene-play,task2,R2_residual_disagree,R2_flow_residual_disagree_std_lam0p001,2,300000,300000,COMPLETED,0,-1639.9,750,0,1,,,,,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-scene-play_visual-scene-play-singletask-task2-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-scene-play_visual-scene-play-singletask-task2-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260610_173802/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-scene-play_visual-scene-play-singletask-task2-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-scene-play_visual-scene-play-singletask-task2-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260610_173802/train.csv,,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-scene-play_visual-scene-play-singletask-task2-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-scene-play_visual-scene-play-singletask-task2-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260610_173802,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp,,fix-visual-pm-encoder,8beb46e642965e399802e40e6cf94a5238cdfad6,2026-06-10 17:38:02,2026-06-16 09:36:01,
4090d__visual_v6__visual-scene-play-singletask-task3-v0__A1_action_std_lam0p001__seed2__300000,4090d,4090d,visual,visual_v6,300k_screening,visual-scene-play-singletask-task3-v0,visual-scene-play,task3,A1_action_std,A1_action_std_lam0p001,2,300000,300000,COMPLETED,0,-1763.3,750,0,1,,,,,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-scene-play_visual-scene-play-singletask-task3-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-scene-play_visual-scene-play-singletask-task3-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_185907/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-scene-play_visual-scene-play-singletask-task3-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-scene-play_visual-scene-play-singletask-task3-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_185907/train.csv,,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-scene-play_visual-scene-play-singletask-task3-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-scene-play_visual-scene-play-singletask-task3-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_185907,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp,,fix-visual-pm-encoder,8beb46e642965e399802e40e6cf94a5238cdfad6,2026-06-10 18:59:07,2026-06-16 09:36:01,
4090d__visual_v6__visual-scene-play-singletask-task3-v0__R2_flow_residual_disagree_std_lam0p001__seed2__300000,4090d,4090d,visual,visual_v6,300k_screening,visual-scene-play-singletask-task3-v0,visual-scene-play,task3,R2_residual_disagree,R2_flow_residual_disagree_std_lam0p001,2,300000,300000,COMPLETED,0,-1625.8,750,0,1,,,,,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-scene-play_visual-scene-play-singletask-task3-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-scene-play_visual-scene-play-singletask-task3-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260610_185907/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-scene-play_visual-scene-play-singletask-task3-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-scene-play_visual-scene-play-singletask-task3-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260610_185907/train.csv,,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-scene-play_visual-scene-play-singletask-task3-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-scene-play_visual-scene-play-singletask-task3-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260610_185907,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp,,fix-visual-pm-encoder,8beb46e642965e399802e40e6cf94a5238cdfad6,2026-06-10 18:59:07,2026-06-16 09:36:01,
4090d__visual_v6__visual-scene-play-singletask-task4-v0__A1_action_std_lam0p001__seed2__300000,4090d,4090d,visual,visual_v6,300k_screening,visual-scene-play-singletask-task4-v0,visual-scene-play,task4,A1_action_std,A1_action_std_lam0p001,2,300000,300000,COMPLETED,0,-972.6,750,0,1,,,,,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-scene-play_visual-scene-play-singletask-task4-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-scene-play_visual-scene-play-singletask-task4-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_202011/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-scene-play_visual-scene-play-singletask-task4-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-scene-play_visual-scene-play-singletask-task4-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_202011/train.csv,,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-scene-play_visual-scene-play-singletask-task4-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-scene-play_visual-scene-play-singletask-task4-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_202011,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp,,fix-visual-pm-encoder,8beb46e642965e399802e40e6cf94a5238cdfad6,2026-06-10 20:20:11,2026-06-16 09:36:01,
4090d__visual_v6__visual-scene-play-singletask-task4-v0__R2_flow_residual_disagree_std_lam0p001__seed2__300000,4090d,4090d,visual,visual_v6,300k_screening,visual-scene-play-singletask-task4-v0,visual-scene-play,task4,R2_residual_disagree,R2_flow_residual_disagree_std_lam0p001,2,300000,300000,COMPLETED,0.1,-1124,718,0.1,300000,,,,,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-scene-play_visual-scene-play-singletask-task4-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-scene-play_visual-scene-play-singletask-task4-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260610_202011/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-scene-play_visual-scene-play-singletask-task4-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-scene-play_visual-scene-play-singletask-task4-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260610_202011/train.csv,,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-scene-play_visual-scene-play-singletask-task4-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/stageA_visual-scene-play_visual-scene-play-singletask-task4-v0_R2_flow_residual_disagree_std_lam0p001_seed2_300000/sd002_20260610_202011,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp,,fix-visual-pm-encoder,8beb46e642965e399802e40e6cf94a5238cdfad6,2026-06-10 20:20:11,2026-06-16 09:36:01,
4090d__visual_v6__visual-scene-play-singletask-task5-v0__A1_action_std_lam0p001__seed2__1000,4090d,4090d,visual,visual_v6,UNKNOWN,visual-scene-play-singletask-task5-v0,visual-scene-play,task5,A1_action_std,A1_action_std_lam0p001,2,1000,1000,COMPLETED,0,-1500,750,0,1,,,,,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/domain_smoke_visual-scene-play_visual-scene-play-singletask-task5-v0_A1_action_std_lam0p001_seed2_1000/domain_smoke_visual-scene-play_visual-scene-play-singletask-task5-v0_A1_action_std_lam0p001_seed2_1000/sd002_20260609_195951/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/domain_smoke_visual-scene-play_visual-scene-play-singletask-task5-v0_A1_action_std_lam0p001_seed2_1000/domain_smoke_visual-scene-play_visual-scene-play-singletask-task5-v0_A1_action_std_lam0p001_seed2_1000/sd002_20260609_195951/train.csv,,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/domain_smoke_visual-scene-play_visual-scene-play-singletask-task5-v0_A1_action_std_lam0p001_seed2_1000/domain_smoke_visual-scene-play_visual-scene-play-singletask-task5-v0_A1_action_std_lam0p001_seed2_1000/sd002_20260609_195951,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp,,fix-visual-pm-encoder,8beb46e642965e399802e40e6cf94a5238cdfad6,2026-06-09 19:59:51,2026-06-16 09:36:01,
4090d__visual_v6__visual-scene-play-singletask-task5-v0__A1_action_std_lam0p001__seed2__300000,4090d,4090d,visual,visual_v6,300k_screening,visual-scene-play-singletask-task5-v0,visual-scene-play,task5,A1_action_std,A1_action_std_lam0p001,2,300000,300000,COMPLETED,0,-1498.3,750,0,1,,,,,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-scene-play_visual-scene-play-singletask-task5-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-scene-play_visual-scene-play-singletask-task5-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_214116/eval.csv,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-scene-play_visual-scene-play-singletask-task5-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-scene-play_visual-scene-play-singletask-task5-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_214116/train.csv,,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp/stageA_visual-scene-play_visual-scene-play-singletask-task5-v0_A1_action_std_lam0p001_seed2_300000/stageA_visual-scene-play_visual-scene-play-singletask-task5-v0_A1_action_std_lam0p001_seed2_300000/sd002_20260610_214116,/root/autodl-tmp/sb-value-flows-runs/visual_bigtable_4090d_v6/exp,,fix-visual-pm-encoder,8beb46e642965e399802e40e6cf94a5238cdfad6,2026-06-10 21:41:16,2026-06-16 09:36:01,
